,Component_1 (18.058%),Component_2 (7.428%),Component_3 (9.389%),Component_4 (4.083%),Component_5 (3.959%),Component_6 (2.898%),Component_7 (3.207%),Component_8 (1.371%),Component_9 (2.111%)
min_Mulliken_EN,0.065,-0.053,-0.04,0.085,-0.054,-0.024,0.02,0.096,-0.019
min_Allred-Rockow_electronegativity,0.039,-0.081,-0.062,0.008,-0.039,-0.013,-0.009,0.015,0.013
min_metallic_valence,0.09,0.003,-0.05,-0.087,0.059,0.009,0.046,-0.071,0.053
min_number_of_valence_electrons,0.081,0.025,-0.067,-0.101,0.025,-0.02,0.05,-0.013,0.051
min_gilmor_number_of_valence_electron,0.023,-0.007,-0.044,0.043,-0.035,-0.077,0.073,0.032,0.059
min_valence_s,-0.064,0.028,-0.047,0.068,0.017,0.03,-0.074,-0.009,0.136
min_valence_p,-0.085,-0.16,0.025,-0.063,-0.026,0.017,0.019,-0.14,0.073
min_valence_d,-0.021,-0.126,0.015,-0.095,-0.031,0.064,-0.045,0.046,0.008
min_valence_f,0.037,0.033,0.024,-0.006,-0.017,0.029,0.028,0.039,-0.072
min_Number_of_unfilled_s_valence_electrons,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
min_Number_of_unfilled_p_valence_electrons,0.086,0.019,0.07,-0.03,0.041,-0.047,-0.048,-0.044,0.026
min_Number_of_unfilled_d_valence_electrons,-0.061,-0.069,0.046,0.041,0.093,-0.138,0.077,-0.009,-0.015
min_Number_of_unfilled_f_valence_electrons,-0.016,-0.031,-0.056,0.012,0.0,0.007,-0.059,-0.107,-0.112
min_outer_shell_electrons,-0.064,0.028,-0.047,0.068,0.017,0.03,-0.074,-0.009,0.136
